request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 on 3 August 2025. This leaves at least IDR 24,768,300 available."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 on 5 July 2026. This leaves at least ZAR 20,500 available."
request_28,253.33,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 15 August 2024 to make the payment of EUR 1,302.40. This leaves at least EUR 1,100 available."
request_29,3771.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900.00 available."
request_31,5044836.01,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Pay IDR 18,164,000 on 15 September 2024. This leaves at least IDR 16,588,900 available."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,39421.95,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 15 March 2026 to make a payment of INR 118,000. This leaves at least INR 102,100 available."
request_34,77951.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 January 2025. None of the available options keeps the INR 138,500 minimum protected."
request_35,46820.71,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026 to make the payment of INR 212,000. This leaves at least INR 106,400 available."
request_36,657.97,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Make a payment of USD 3,954 on 15 September 2026. This leaves at least USD 2,400 available."
request_37,4920170.9,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Make a payment of IDR 4,920,170.90 on 15 May 2024. This leaves at least IDR 17,056,200.00 available."
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 on 15 September 2025. This leaves at least EUR 400 protected.
request_39,63601.27,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Make the payment of INR 208,600 on 15 April 2026. This leaves at least INR 213,400 available."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,8345766.05,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Make the payment of IDR 38,760,000 on 15 November 2025. This leaves at least IDR 25,366,600 available."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 on 5 January 2026. This leaves at least INR 113,100 available."
request_43,8405276.67,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Make a payment of IDR 8,405,276.67 on 15 November 2024. This leaves at least IDR 21,398,000 available."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,5270814.54,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026 to make a payment of IDR 21,983,000. This leaves at least IDR 11,149,800 available."
request_46,28650.98,affordable_with_plan,partial_payment,2024-12-03:28650.98|2024-12-15:20799.02,2024-12-15,none,"Make a partial payment of INR 28,650.98 on 3 December 2024. This leaves at least INR 84,000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 on 5 May 2025. This leaves at least IDR 30,049,000 available."
request_48,44619.09,affordable_later,wait,2026-08-15:45700,2026-08-15,none,"Make a payment of INR 45,700 on 15 August 2026. This leaves at least INR 71,300 available."
request_49,8993575.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 on 6 August 2025. This leaves at least INR 99,700 available."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 on 3 January 2026. This leaves at least IDR 7,811,000 available."
request_52,14399.07,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Make a payment of INR 28,870 on 15 June 2024. This leaves at least INR 41,500 available."
request_53,606.87,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,130023.1,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,"Pay USD 777.10 on 3 February 2025. This leaves at least USD 2,100 available."
request_57,12668.08,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Make the payment of ZAR 61,446 on 15 May 2026. This leaves at least ZAR 42,700 available."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 on 7 December 2024. This leaves at least IDR 14,433,900 available."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options keeps the USD 400.00 minimum protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
