request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Use full_payment; projected balance is constrained near 2025-10-13.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Use full_payment; projected balance is constrained near 2026-07-08.
request_28,253.33,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Use wait; projected balance is constrained near 2024-06-13.
request_29,3771.26,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use installments; projected balance is constrained near 2026-07-03.
request_31,5044836.01,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Use wait; projected balance is constrained near 2024-09-13.
request_32,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_33,39421.95,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Use wait; projected balance is constrained near 2026-01-14.
request_34,77951.82,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_35,46820.71,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Use wait; projected balance is constrained near 2025-11-13.
request_36,657.97,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_37,4920170.9,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Use wait; projected balance is constrained near 2024-05-12.
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Use wait; projected balance is constrained near 2025-08-13.
request_39,63601.27,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Use wait; projected balance is constrained near 2026-04-14.
request_40,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_41,8345766.05,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Use wait; projected balance is constrained near 2025-11-14.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Use full_payment; projected balance is constrained near 2026-01-14.
request_43,8405276.67,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Use wait; projected balance is constrained near 2024-09-14.
request_44,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_45,5270814.54,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Use wait; projected balance is constrained near 2026-07-10.
request_46,28650.98,affordable_with_plan,partial_payment,2024-12-03:28650.98|2024-12-15:20799.02,2024-12-15,none,Use partial_payment; projected balance is constrained near 2024-12-13.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Use full_payment; projected balance is constrained near 2025-05-17.
request_48,44619.09,affordable_later,wait,2026-08-15:45700,2026-08-15,none,Use wait; projected balance is constrained near 2026-08-13.
request_49,8993575.51,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Use full_payment; projected balance is constrained near 2025-08-14.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Use full_payment; projected balance is constrained near 2026-01-13.
request_52,14399.07,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Use wait; projected balance is constrained near 2024-06-14.
request_53,606.87,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use installments; projected balance is constrained near 2025-11-13.
request_54,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_55,130023.1,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use installments; projected balance is constrained near 2026-06-14.
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,Use partial_payment; projected balance is constrained near 2025-02-13.
request_57,12668.08,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Use wait; projected balance is constrained near 2026-04-12.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Use full_payment; projected balance is constrained near 2024-12-14.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use installments; projected balance is constrained near 2025-05-04.
request_60,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use installments; projected balance is constrained near 2024-05-31.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Use full_payment; projected balance is constrained near 2025-11-03.
request_63,54182.39,affordable_with_plan,partial_payment,2026-07-07:54182.39|2026-09-15:289717.61,2026-09-15,none,Use partial_payment; projected balance is constrained near 2026-07-14.
request_64,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_65,5834.98,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Use full_payment; projected balance is constrained near 2026-06-07.
request_67,359.56,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Use wait; projected balance is constrained near 2024-09-13.
request_68,1371.36,not_affordable,not_recommended,none,2025-04-15,none,No eligible payment plan stays above the minimum balance.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Use full_payment; projected balance is constrained near 2026-01-12.
request_70,59952.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Use wait; projected balance is constrained near 2024-12-12.
request_71,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_72,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Use full_payment; projected balance is constrained near 2023-02-12.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Use full_payment; projected balance is constrained near 2025-11-01.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use installments; projected balance is constrained near 2026-04-14.
request_76,474.56,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_77,57166,affordable_later,wait,2025-11-15:60700,2025-11-15,none,Use wait; projected balance is constrained near 2025-11-14.
request_78,34165.25,affordable_later,wait,2025-12-15:50200,2025-12-15,none,Use wait; projected balance is constrained near 2025-12-13.
request_79,398.29,not_affordable,not_recommended,none,2024-11-15,none,No eligible payment plan stays above the minimum balance.
request_80,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Use full_payment; projected balance is constrained near 2026-07-12.
request_82,453.22,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Use wait; projected balance is constrained near 2024-12-13.
request_83,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_84,22249.17,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Use wait; projected balance is constrained near 2026-04-14.
request_85,7636.15,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Use full_payment; projected balance is constrained near 2025-08-14.
request_87,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Use installments; projected balance is constrained near 2024-06-10.
request_89,9713293.58,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Use installments; projected balance is constrained near 2025-11-12.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Use full_payment; projected balance is constrained near 2026-09-13.
request_91,595.7,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,Use wait; projected balance is constrained near 2024-09-14.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Use full_payment; projected balance is constrained near 2025-02-13.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Use full_payment; projected balance is constrained near 2026-04-12.
request_94,271.56,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_95,51718.94,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_96,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_97,1740.93,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use installments; projected balance is constrained near 2024-03-11.
request_98,5651.98,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Use full_payment; projected balance is constrained near 2026-07-12.
request_100,25055.2,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use installments; projected balance is constrained near 2024-06-14.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Use full_payment; projected balance is constrained near 2025-11-14.
request_102,1473.19,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_103,16614.03,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Use full_payment; projected balance is constrained near 2025-02-14.
request_105,51757.59,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,Use full_payment; projected balance is constrained near 2026-06-14.
request_106,539.84,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,Use wait; projected balance is constrained near 2024-12-12.
request_107,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_108,3091.64,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_109,614.19,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use installments; projected balance is constrained near 2024-03-14.
request_110,19751.69,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Use full_payment; projected balance is constrained near 2026-04-14.
request_112,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_113,28085.66,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Use wait; projected balance is constrained near 2026-09-14.
request_114,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Use wait; projected balance is constrained near 2024-09-13.
request_116,16306.53,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Use full_payment; projected balance is constrained near 2026-07-11.
request_118,704.02,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Use installments; projected balance is constrained near 2024-12-13.
request_119,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Use full_payment; projected balance is constrained near 2026-04-11.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Use full_payment; projected balance is constrained near 2024-03-14.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use installments; projected balance is constrained near 2025-08-07.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Use full_payment; projected balance is constrained near 2026-01-22.
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use installments; projected balance is constrained near 2024-06-11.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Use full_payment; projected balance is constrained near 2025-11-14.
request_126,155767.31,affordable_with_plan,full_payment,2026-07-03:159600,,reduce_to:event_11638:1784,Use full_payment; projected balance is constrained near 2026-09-17.
request_127,0,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Use full_payment; projected balance is constrained near 2025-02-13.
request_129,74.65,not_affordable,not_recommended,none,,none,No eligible payment plan stays above the minimum balance.
request_130,406.19,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,Use wait; projected balance is constrained near 2024-12-14.
